"session_id","user_id","session_start","session_end","ip_address","device_type","country","session_token"
"5682a10b-5f1e-43ab-874e-401477897498","f2a14de9-5724-4114-a5fa-e9ed7be945a4","2024-04-17T00:28:09.038Z","2024-04-17T01:04:19.066Z","231.171.216.189","Tablet","Japan","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiZjJhMTRkZTktNTcyNC00MTE0LWE1ZmEtZTllZDdiZTk0NWE0IiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.VP5qDWvTfyfQPJ5dKX91yjCHVOPLgK0jeXEMG3hZEgg"
"49317ad9-733d-4ada-b525-5dac953c63de","b793bf7f-dd73-40b9-89a7-7a552a43bf7d","2023-10-15T17:37:40.045Z","2023-10-15T18:24:48.944Z","becd:d9ee:6c95:d0dd:cfcf:af70:da2a:e7d2","Tablet","UK","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiYjc5M2JmN2YtZGQ3My00MGI5LTg5YTctN2E1NTJhNDNiZjdkIiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.vkg0sVurv0a6HDBYJC3cZWHBDBKOP0hji_W_FLkS4SU"
"3995964b-129a-4959-b4f8-75274edac653","44f2a041-f992-427c-bf1d-0f722073397e","2023-12-14T15:53:02.078Z","2023-12-14T17:10:39.950Z","146.108.232.113","Desktop","Brazil","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNDRmMmEwNDEtZjk5Mi00MjdjLWJmMWQtMGY3MjIwNzMzOTdlIiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.SWkiEeuCbpI2tKZOu7i55EBADAiT7D9B1TBdunbsZfs"
"c8994c68-b316-4b1c-9b45-8fa1589ae6dd","7baefdb7-7555-4c28-897f-9eb4d02138d6","2023-12-02T15:55:47.125Z","2023-12-02T17:24:49.685Z","cdca:03f9:eacb:2b0f:eec5:1f84:d8ec:01de","Tablet","France","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiN2JhZWZkYjctNzU1NS00YzI4LTg5N2YtOWViNGQwMjEzOGQ2IiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.6M7bRFV0yMX1goBoOidPAvqEwe-9vnnsHkaZ4sO9wTU"
"a71e71c2-4d02-425e-8b87-6be24de621c0","ca1ae239-db15-415d-9b0b-33496f50604c","2024-02-14T03:14:11.926Z","2024-02-14T03:48:22.023Z","852a:ffe2:4c70:dcde:5c90:4a04:d879:60b6","Tablet","India","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiY2ExYWUyMzktZGIxNS00MTVkLTliMGItMzM0OTZmNTA2MDRjIiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.u8xdX7XiicQC43t1cE5Oa_2XV4jN353ey3EdiKp4j4Y"
"3feb0229-307e-4275-8817-b1299a197bcf","901a8fd5-5537-43dd-8804-3a2000f0231a","2024-01-30T08:14:22.176Z","2024-01-30T09:15:11.946Z","186.46.166.99","Desktop","Australia","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiOTAxYThmZDUtNTUzNy00M2RkLTg4MDQtM2EyMDAwZjAyMzFhIiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.nR7zgAvdXWSTqbRssFwK8yWVWHO4frYpkrDYN4TOS8U"
"7ca06556-8222-4f02-8ac8-b9174e9aff6e","7577cc1f-a56c-4cdd-a1a1-fa62fbbf120f","2024-09-30T10:22:50.784Z","2024-09-30T12:18:36.586Z","2fcd:5fa7:f6c3:7f27:4d7c:7ff9:42be:b2ef","Tablet","Brazil","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNzU3N2NjMWYtYTU2Yy00Y2RkLWExYTEtZmE2MmZiYmYxMjBmIiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.ckSQr5SZC3O29-_Q_IU1Ah64-lm0Y8KjiAq12Lc38bE"
"db237c0e-30b4-48f6-8648-8db8e721a720","1965825e-0e39-463d-9996-4c28394fdf0a","2023-10-31T19:27:02.818Z","2023-10-31T20:46:02.495Z","acc5:fe70:8be8:e7a4:2efa:ddfa:788a:21ce","Mobile","USA","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiMTk2NTgyNWUtMGUzOS00NjNkLTk5OTYtNGMyODM5NGZkZjBhIiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.djzA9lPMwIVTwsBmjAKx_SJ6aNla5PO5jBnqc5vvceY"
"28856543-83c4-4fc3-95eb-a440f9555f7c","89b52713-5de2-44c3-89d0-e4b366818123","2024-04-27T17:26:17.757Z","2024-04-27T17:53:59.127Z","176.97.116.17","Tablet","Germany","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiODliNTI3MTMtNWRlMi00NGMzLTg5ZDAtZTRiMzY2ODE4MTIzIiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.ETSt-26k1BJ97snq2GFuibJeANeOl0-Npw_6mmTBxeE"
"4a76fb1c-9a53-4e0c-874d-8cdc95634c54","72d89e5c-6f89-462c-a634-38fb68a6c3d2","2023-11-06T01:45:53.225Z","2023-11-06T03:03:51.025Z","6ab9:0ee8:fded:b5f5:bcea:b494:158d:7ac7","Desktop","South Africa","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNzJkODllNWMtNmY4OS00NjJjLWE2MzQtMzhmYjY4YTZjM2QyIiwiaWF0IjoxNzI4NDI5MTgxLCJleHAiOjE3Mjg0MzYzODF9.G3URptnV65XUG2-RECctX4pysQtmHrhMlehOYYFCjos"
